,cityName,cloudCover,humidity,lat,lng,temp,windSpeed
136,berdigestyakh,96.0,87.0,63.03553125925808,126.59168945553813,32.99,5.35
137,kamskiye polyany,0.0,25.0,55.34998186822119,51.38096710792934,51.8,15.66
138,ostrow mazowiecka,93.0,55.0,52.88758605369969,22.044329046640115,41.0,5.37
139,tiarei,40.0,65.0,-13.17431121399703,-147.41704901365102,82.18,11.41
140,kaitangata,98.0,67.0,-57.20003164126887,175.55971800912573,54.0,7.0
141,iracoubo,0.0,92.0,14.289277201667119,-50.2773524946781,76.03,4.0
142,busselton,3.0,41.0,-49.243395311988145,107.5880081078252,63.91,8.16
143,caranavi,94.0,98.0,-15.795935229840396,-67.46444683830345,49.33,0.29
144,assiniboia,0.0,57.0,48.93715223636735,-105.89012076143383,47.62,8.37
146,sao filipe,100.0,87.0,9.072861834129682,-34.67804640439425,78.98,15.23
148,minbu,85.0,84.0,19.426500833884873,93.92941128769826,77.88,2.62
149,avera,75.0,73.0,-22.435934981560493,-151.5461002114627,73.26,4.7
150,bonfim,0.0,53.0,1.0154894037085,-58.71906479609987,73.4,9.17
151,manono,11.0,71.0,-6.488423478918435,28.1090277464794,72.54,1.54
152,vredendal,44.0,89.0,-31.606727174439328,16.779493955152162,58.93,8.93
153,erzin,40.0,93.0,48.925445205731535,95.34722387436375,67.41,8.05
154,petropavlovsk-kamchatskiy,0.0,42.0,48.15833796294072,163.53162129142083,48.2,22.37
155,ostrovnoy,100.0,96.0,67.31729792703388,37.461748651440246,32.02,10.65
156,kavieng,1.0,75.0,17.52330867738334,154.9327726929414,83.59,14.09
157,maniitsoq,0.0,55.0,61.80432762494772,-58.75469563434858,34.88,4.92
158,geraldton,75.0,100.0,-31.202453283339494,97.56887498218038,44.6,10.29
159,maicao,0.0,78.0,11.175803910176612,-71.8014488541237,80.51,7.81
162,saint-philippe,90.0,87.0,-59.84967249697378,68.49649192656597,58.5,16.11
163,sompeta,98.0,75.0,16.769529776797853,86.43206459541693,82.13,3.56
164,butembo,33.0,93.0,-0.48995096642673275,28.534874815638318,58.59,2.86
165,kostomuksha,100.0,98.0,64.16337148214336,30.19955703806866,35.13,1.52
166,muscat,0.0,94.0,24.314816452966824,59.6543724565378,80.6,1.12
169,alakurtti,100.0,95.0,66.67807333898321,30.17184171517323,30.99,2.98
170,isangel,75.0,69.0,-21.94907388301705,177.1460801567829,80.6,11.41
171,yining,0.0,49.0,44.90463514515014,82.44239239640831,79.95,2.42
172,torbay,20.0,86.0,47.97258759646138,-48.78514302563235,42.53,8.05
173,los llanos de aridane,90.0,64.0,28.173296480428647,-24.791254447619792,73.4,14.99
174,pisco,90.0,82.0,-27.023699093882797,-99.05554228524639,61.5,11.41
175,general pico,100.0,31.0,-36.87866560260948,-62.633396010540295,65.16,20.98
176,bismarck,90.0,66.0,46.41584095230073,-99.75084360146388,50.11,11.41
177,miri,95.0,90.0,5.342478513225473,111.77761774066238,70.25,2.93
178,vorobyevka,100.0,72.0,50.51744060243604,40.70813670299617,38.53,13.06
179,kapaa,90.0,94.0,29.550377436927292,-160.74695193490933,77.04,13.87
181,beringovskiy,100.0,98.0,52.537541733251345,177.72217346206185,32.7,32.1
182,kedrovyy,9.0,93.0,56.88967754952671,79.75041386591016,42.8,9.19
183,mayo,75.0,48.0,64.39996439769027,-138.5790905467435,32.0,4.14
184,touros,75.0,78.0,-3.4005714321945533,-35.135084327905304,77.0,9.17
185,aklavik,75.0,59.0,66.6257308571058,-135.30053092420388,35.6,9.17
186,acapulco,75.0,74.0,11.939686579689635,-101.93590561672139,84.2,5.82
187,bathsheba,75.0,88.0,16.439838248641564,-47.83994048093214,78.8,24.16
188,sovetskaya gavan,1.0,34.0,47.83181271955988,140.06229096878423,58.01,7.47
189,lethem,65.0,67.0,3.5751589738694918,-58.12768628438138,81.97,8.1
190,dikson,55.0,79.0,83.71047201946982,72.18130567987262,23.58,26.13
191,namibe,98.0,76.0,-20.37925017612521,4.400714542833072,67.95,8.79
192,chistogorskiy,0.0,77.0,54.32250622760097,87.41205864826844,52.18,2.84
193,makat,97.0,30.0,49.40776785914849,53.420167826218204,54.54,14.23
194,ushtobe,0.0,30.0,45.870358001161094,78.07756655075895,63.66,3.76
195,jiayuguan,0.0,40.0,43.35586023394242,98.79945614900174,55.06,10.6
196,sretensk,100.0,55.0,52.067887994489865,117.71688593528023,36.21,14.85
197,coihaique,75.0,86.0,-48.04726115691675,-73.25430635052791,41.0,1.12
198,kumano,40.0,60.0,32.87458382002153,137.38289410820477,75.7,6.93
